title,company,location,description,skills,word_count,source
global operations manager fashion,rosie etienne,,"about uswe are an international bridal fashion brand, creating made-to-order gowns and selected stock pieces. with warehouses in the uk and us, factories in worldwide and multiple shopify expansion st...",,380,RemoteOK API
senior full stack developer,lemon.io,,are you a talented senior developer looking for a remote job that lets you show your skills and get decent compensation? look no further than lemon.io â the marketplace that connects you with hand-pic...,"ai, aws, azure, django, gcp, node.js, python, react, typescript",652,RemoteOK API
llm data engineer,sanctuary computer,,"original job post link:llm data engineer original job post linkð about garden3dwe are a worker-owned creative collective, innovating on everything from brands and irl communities to iot devices and cr...","ai, django, gcp, python, react",1117,RemoteOK API
client success manager,venus,,"weâre looking for a female client success manager to join our team. you will be the primary point of contact for our creators, ensuring they feel supported, guided, and motivated. from onboarding to l...",,260,RemoteOK API
senior ruby on rails engineer,everai,,"our vision productsð everai â building the future of ai companionshipone of the top 15 largest fastest-growing ai companies in the world30 million users in under 2 years â help us reach 100m first, 50...","agile, ai",739,RemoteOK API
senior performance marketer,everai,,"our vision productsð everai â building the future of ai companionshipone of the top 15 largest fastest-growing ai companies in the world30 million users in under 2 years â help us reach 100m first, 50...",ai,911,RemoteOK API
senior full stack engineer,aguru uk,,"location: remote (euuk preferred)team: engineeringtype: full-time, contractorabout the roleaguru is an agentic ai automation platform for saas businesses, bringing together agents, workflows, and comm...","ai, api, css, postgresql, react, sql, tailwind, typescript",500,RemoteOK API
senior devops engineer,aguru uk,,"location: remote (euuk preferred)team: engineeringtype: full-time,â contractor.aguru is an agentic ai automation platform for saas. weâre looking for a senior devops engineer to own reliability, infra...","ai, aws, azure, docker, kubernetes, postgresql",416,RemoteOK API
social media manager shitposter fun ecom co,jls trading co,,- do you have trouble communicating through anything but memes?- did you livestream your family staging an intervention for your social media addiction?- do you thrive in a high-stress environment fil...,rest,1672,RemoteOK API
mid level backend dev for saas the music industry,melodyiq,,"weâre hiring a freelance mid-level backend developer to join our 100 remote, talented, energetic small team.at melodyiq, we build music analytics tools trusted by the worldâs top record labels â sony,...","gcp, javascript, postgresql, typescript",396,RemoteOK API
online data research with bonus,telus digital,,"looking for a freelance opportunity where you can make an impact on technology from the comfort of your home? if you are dynamic, tech-savvy, and always online to learn more, this part-time flexible p...","ai, machine learning",433,RemoteOK API
engineering lead,aragon,remote,"aragon is a small team of people that spans a broad range of backgrounds, interests, and geographies. were entrepreneurs and degens, technologists and skeptics, troublemakers and problem solvers, who ...","agile, git, react, scrum",654,RemoteOK API
python developer,ampcontrol,,"ðabout ampcontrolampcontrol is building ai-powered software for optimizing electric vehicle (ev) fleet charging.we are a venture backed hybrid team of engineers and energy experts based in europe, the...","ai, gcp, postgresql, python, rabbitmq, redis, sql",501,RemoteOK API
senior editor,afar,"new york, ny","afar is looking for a senior editor to join its digital editorial team. the senior editor will be responsible for top editing a variety of text-based digital travel content, from inspiration stories t...",,323,RemoteOK API
freelance python contributor project aurora,datacurve,,ð about usshipd.ai by datacurve (yc w24) is creating the worlds leading frontier coding data to power the top ai models today. we work with the leading ai labs in the world to teach their models how t...,"ai, python",260,RemoteOK API
senior software engineer,google,"mountain view, ca","design, develop, test, deploy, maintain and improve software. manage individual project priorities, deadlines and deliverables. write clean, efficient, and well-documented code. collaborate with cross...",,31,Public Dataset
mid-level devops developer,amazon,remote,"amazon is hiring a mid-level devops developer to join our team. responsibilities: - develop and maintain software applications using typescript, angular, express.js, mongodb - collaborate with cross-f...","angular, mongodb, typescript",104,Realistic Sample
senior full stack developer,slack,"san francisco, ca","slack is hiring a senior full stack developer to join our team. responsibilities: - develop and maintain software applications using python, flask, redis, docker - collaborate with cross-functional te...","docker, flask, python, redis",105,Realistic Sample
